,0,1
0,导游,1584
1,讲解,1492
2,非常,1181
3,布达拉宫,1023
4,不错,482
5,西藏,341
6,服务,313
7,详细,307
8,我们,304
9,专业,302
10,值得,296
11,王导,284
12,拉萨,276
13,好好,261
14,地方,248
15,耐心,239
16,特别,229
17,可以,227
18,参观,205
19,细致,193
20,热情,187
21,没有,179
22,一个,175
23,历史,166
24,预约,166
25,还是,158
26,时间,156
27,一次,153
28,到位,152
29,提前,151
30,体验,150
31,布宫,148
32,震撼,145
33,满意,144
34,推荐,144
35,建筑,143
36,一定,141
37,很多,140
38,宫殿,139
39,就是,139
40,门票,131
41,自己,125
42,很棒,114
43,了解,114
44,真的,110
45,景色,107
46,里面,104
47,这个,103
48,文化,100
49,负责,99
50,大家,97
51,比较,94
52,仔细,93
53,需要,90
54,好评,89
55,壮观,88
56,神圣,86
57,大昭寺,85
58,行程,85
59,细心,84
60,景点,84
61,全程,84
62,知识,84
63,游客,83
64,这里,83
65,感觉,81
66,世界,79
67,宏伟,79
68,认真,78
69,性价比,78
70,高原,77
71,陈导,76
72,安排,75
73,一去,75
74,下次,74
75,感受,74
76,拍照,73
77,广场,72
78,必须,71
79,但是,71
80,如果,68
81,排队,68
82,超级,68
83,解说,67
84,服务态度,66
85,圣地,65
86,方便,64
87,因为,64
88,旅游,63
89,游览,62
90,照顾,61
91,认真负责,61
92,态度,61
93,清楚,60
94,感谢,60
95,海拔,59
96,而且,59
97,打卡,58
98,丰富,57
99,点赞,57
100,雄伟,57
101,一座,57
102,信仰,57
103,藏族,56
104,介绍,55
105,一天,54
106,旅行,54
107,清晰,54
108,时候,52
109,携程,52
110,喜欢,51
111,游玩,50
112,不能,50
113,联系,49
114,藏传佛教,48
115,一生,48
116,小时,47
117,神秘,47
118,讲得,47
119,一路,47
120,xa0,47
121,建议,46
122,看看,46
123,虽然,45
124,不虚此行,45
125,最高,45
126,不要,45
127,拉萨市,45
128,同程,45
129,山上,44
130,进入,44
131,谢谢,44
132,看到,44
133,朋友,43
134,优秀,43
135,趣味,43
136,网上,43
137,旺季,43
138,松赞干布,43
139,不过,42
140,进去,42
141,200,42
142,一样,41
143,整个,41
144,愉快,41
145,那么,41
146,必去,41
147,10,41
148,小谭,41
149,这次,40
150,文成公主,40
151,开心,40
152,所以,40
153,敬业,39
154,高反,39
155,觉得,39
